sku_id,name,category,unit_cost,lead_time_days,lead_time_std_days,service_level,current_stock,month,quantity
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-01-01,486
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-02-01,508
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-03-01,566
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-04-01,548
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-05-01,489
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-06-01,485
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-07-01,524
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-08-01,518
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-09-01,538
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-10-01,536
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-11-01,495
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2024-12-01,511
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-01-01,534
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-02-01,483
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-03-01,517
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-04-01,491
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-05-01,466
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-06-01,543
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-07-01,498
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-08-01,455
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-09-01,514
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-10-01,511
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-11-01,533
SKU-001,차량용 전력관리 IC,반도체,60.75,50.4,12.47,0.95,33,2025-12-01,480
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-01-01,236
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-02-01,260
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-03-01,254
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-04-01,250
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-05-01,232
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-06-01,175
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-07-01,166
SKU-002,스마트폰 OLED 구동칩,센서,175.5,52.88,12.39,0.95,15,2024-08-01,83
